,City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
362,Birao,10.28,22.79,24.53,84,0,3.89,CF,1595704703
363,Barcelos,41.54,-8.62,23.89,93,40,6.7,PT,1595704494
364,Mersing,2.43,103.84,24.0,94,1,3.1,MY,1595704709
365,Santa Isabel Rio Negro,-0.41,-65.02,32.33,53,90,1.76,BR,1595704712
366,Namatanai,-3.67,152.43,26.28,81,41,3.95,PG,1595704715
367,Taoudenni,22.68,-3.98,43.1,12,78,4.13,ML,1595704719
368,Pochutla,15.74,-96.47,32.78,62,40,3.19,MX,1595704722
369,Rocha,-34.48,-54.33,10.26,60,0,5.47,UY,1595704725
370,Geraldton,-28.77,114.6,11.0,87,0,5.7,AU,1595704728
371,Havelock,34.88,-76.9,34.0,52,5,3.1,US,1595704731
372,Killam,52.78,-111.85,15.43,76,46,6.26,CA,1595704734
373,Kefamenanu,-9.45,124.48,17.56,90,6,2.03,ID,1595704737
374,Ganzhou,28.82,115.43,24.68,93,100,1.23,CN,1595704741
375,Coruripe,-10.13,-36.18,24.51,71,0,5.27,BR,1595704744
376,Dickinson,29.46,-95.05,28.33,78,90,7.2,US,1595704747
377,Andilamena,-17.02,48.58,12.65,89,84,6.84,MG,1595704750
378,Waipawa,-41.41,175.52,5.0,100,0,1.0,NZ,1595704753
379,Bambanglipuro,-7.95,110.28,22.24,82,100,2.89,ID,1595704756
380,Lovozero,68.0,35.01,14.92,65,0,3.24,RU,1595704760
381,Filingué,14.35,3.32,36.26,29,61,2.79,NE,1595704763
382,Sucre,-19.03,-65.26,14.84,52,100,4.03,BO,1595704766
383,Riyadh,24.69,46.72,37.0,22,0,3.6,SA,1595704769
384,Victoria Point,-27.58,153.3,16.67,97,69,3.47,AU,1595704772
385,Tessalit,20.2,1.01,28.1,55,86,10.52,ML,1595704775
386,Sergach,55.53,45.47,12.98,78,0,2.89,RU,1595704782
387,Zandvoort,52.37,4.53,18.0,93,75,5.1,NL,1595704791
388,Muroto-misakicho,33.28,134.15,25.43,89,100,4.76,JP,1595704794
389,Lata,40.16,-8.33,25.0,89,0,2.24,PT,1595704797
390,Mittersill,47.27,12.48,16.67,78,0,1.34,AT,1595704801
391,Toamasina,-18.17,49.38,21.0,83,75,7.2,MG,1595704804
392,Putina,-15.47,-69.43,8.03,52,100,2.65,PE,1595704807
393,São João da Barra,-21.64,-41.05,26.0,57,0,8.2,BR,1595704810
394,Severnoye,56.35,78.36,13.14,92,100,2.06,RU,1595704813
395,Biloela,-24.42,150.5,13.7,90,17,1.45,AU,1595704816
396,Constantine,36.37,6.61,32.0,33,0,6.2,DZ,1595704605
397,Oistins,13.07,-59.53,31.0,70,40,6.7,BB,1595704531
398,Arica,-18.48,-70.3,17.0,67,0,6.2,CL,1595704826
399,San Quintín,30.48,-115.95,21.71,65,0,5.07,MX,1595704829
400,Rabo de Peixe,37.8,-25.58,23.0,69,20,5.1,PT,1595704832
401,Banda Aceh,5.56,95.32,26.64,80,95,3.26,ID,1595704835
402,Gonder,12.6,37.47,14.12,90,89,1.45,ET,1595704838
403,Vryheid,-27.77,30.79,9.32,67,0,2.86,ZA,1595704842
404,Padang,-0.95,100.35,25.06,81,92,1.79,ID,1595704845
405,Nikolskoye,59.7,30.79,16.0,87,75,1.0,RU,1595704848
406,Pervomayskoye,43.92,46.71,23.31,81,0,3.08,RU,1595704851
407,Bandarbeyla,9.49,50.81,25.57,75,98,13.12,SO,1595704854
408,Srednekolymsk,67.45,153.68,25.18,40,0,1.41,RU,1595704857
409,Pilar,-9.6,-35.96,26.0,69,75,6.7,BR,1595704861
410,Yishui,35.78,118.63,20.98,79,100,1.99,CN,1595704864
411,San Rafael,-34.62,-68.33,14.82,30,0,6.71,AR,1595704867
412,Kopāganj,26.02,83.57,30.27,69,100,1.84,IN,1595704871
413,Kavieng,-2.57,150.8,27.79,80,100,6.62,PG,1595704874
414,Makaha,21.47,-158.22,29.0,78,90,2.1,US,1595704877
415,Pāvugada,14.1,77.27,23.49,80,89,5.31,IN,1595704884
416,Soe,-9.86,124.28,14.87,98,0,2.01,ID,1595704887
417,Ranong,9.97,98.63,25.84,85,91,1.15,TH,1595704890
418,Sterlibashevo,53.44,55.26,14.26,91,5,3.49,RU,1595704893
419,Rawson,-43.3,-65.1,13.94,43,0,10.59,AR,1595704896
420,Ordynskoye,54.37,81.9,11.13,92,25,1.62,RU,1595704900
421,Cockburn Town,21.46,-71.14,31.0,70,40,7.2,TC,1595704891
422,Tuma,55.15,40.55,13.33,51,0,1.39,RU,1595704906
423,Jiehu,35.54,118.45,21.05,84,100,1.6,CN,1595704909
424,Forsytheganj,52.63,29.73,17.2,92,42,2.95,BY,1595704913
425,Matagami,49.75,-77.63,21.0,94,90,3.1,CA,1595704916
426,Sistranda,63.73,8.83,13.0,76,20,3.1,NO,1595704919
427,Grand Baie,-20.02,57.58,20.0,64,34,4.02,MU,1595704922
428,Agüimes,27.91,-15.45,25.0,64,20,13.9,ES,1595704925
429,Pasni,25.26,63.47,29.07,82,100,6.12,PK,1595704929
430,Waingapu,-9.66,120.26,22.19,82,100,4.69,ID,1595704933
431,Bundaberg,-24.85,152.35,17.22,100,40,2.1,AU,1595704936
432,Raja,8.46,25.68,22.13,93,99,1.62,SS,1595704939
433,Gilgit,35.92,74.31,28.69,32,0,0.9,PK,1595704942
434,Buchanan,5.88,-10.05,25.0,94,75,4.12,LR,1595704945
435,Buala,-8.14,159.59,26.8,82,100,4.92,SB,1595704949
436,Kibala,9.11,18.35,28.0,88,99,0.53,TD,1595704952
437,Saiha,22.48,92.97,23.08,94,100,0.41,IN,1595704955
438,Dinghaicun,26.28,119.79,27.0,94,20,3.0,CN,1595704958
439,Ranau,5.95,116.66,23.0,94,20,2.1,MY,1595704961
440,Mehamn,71.04,27.85,16.86,62,13,5.09,NO,1595704965
441,São José da Laje,-9.01,-36.06,26.0,69,75,6.7,BR,1595704968
442,Hirara,24.8,125.28,29.46,78,100,5.32,JP,1595704971
443,Hofn,64.25,-15.21,10.57,80,100,6.5,IS,1595704974
444,Belmonte,-15.86,-38.88,25.0,73,40,2.1,BR,1595704977
445,Gwadar,25.12,62.33,28.86,82,100,8.29,PK,1595704980
446,Tumut,-35.3,148.22,9.29,89,100,1.47,AU,1595704983
447,Atar,20.52,-13.05,41.81,13,72,5.62,MR,1595704845
448,Barranca,-10.75,-77.77,18.93,69,26,4.54,PE,1595704990
449,Rodrigues Alves,-7.74,-72.65,27.34,86,100,0.27,BR,1595704993
450,Bathsheba,13.22,-59.52,31.0,70,40,6.7,BB,1595704996
451,Abalak,58.13,68.59,11.73,71,100,2.5,RU,1595704999
452,Shache,38.42,77.24,25.51,21,96,1.3,CN,1595705005
453,Kidal,18.44,1.41,34.0,33,50,4.0,ML,1595705009
454,Nova Olímpia,-14.8,-57.29,32.78,26,0,2.81,BR,1595705012
455,Oranjemund,-28.55,16.43,17.01,51,0,4.18,NA,1595705015
456,Karratha,-20.74,116.85,18.9,35,79,6.29,AU,1595705018
457,Beyşehir,37.68,31.72,21.88,32,0,2.35,TR,1595705021
458,Burgersdorp,-31.0,26.33,7.68,53,0,2.77,ZA,1595705024
459,San Ignacio,17.16,-89.07,33.0,66,40,2.1,BZ,1595705027
460,Daşoguz,41.84,59.97,29.0,42,64,3.1,TM,1595705031
461,Giohar,2.78,45.5,24.45,76,99,6.51,SO,1595705034
462,Snina,48.99,22.15,15.0,87,100,1.53,SK,1595705037
463,Mayskiy,47.69,40.1,25.0,33,1,6.0,RU,1595705040
464,Staunton,38.15,-79.07,32.22,58,75,0.14,US,1595705043
465,Ola,59.58,151.28,11.47,90,72,1.43,RU,1595705047
466,Charters Towers,-20.1,146.27,16.12,84,37,2.46,AU,1595705053
467,Nemuro,43.32,145.57,13.61,90,100,1.86,JP,1595705056
468,Ulaangom,49.98,92.07,18.36,55,1,2.23,MN,1595705059
469,Liwale,-9.77,37.93,23.3,44,96,3.23,TZ,1595705062
470,Adamantas,36.73,24.43,25.0,61,0,5.1,GR,1595705066
471,Semenivka,52.18,32.58,16.72,73,82,3.8,UA,1595705069
472,Homer,59.64,-151.55,13.0,93,90,1.5,US,1595705072
473,Thaba-Tseka,-29.52,28.61,4.3,57,0,1.94,LS,1595705075
474,Merauke,-8.47,140.33,25.25,85,99,7.65,ID,1595705078
475,Presidencia Roque Sáenz Peña,-26.79,-60.44,16.97,31,0,2.3,AR,1595705081
476,Poya,-21.35,165.15,20.21,85,5,2.45,NC,1595705085
477,San Andrés,12.58,-81.7,31.0,70,75,4.1,CO,1595704910
478,Sharanga,57.18,46.54,12.5,92,100,2.38,RU,1595705091
479,Portland,45.52,-122.68,21.67,59,20,2.6,US,1595704883
480,Yacuiba,-22.04,-63.68,20.05,22,99,3.38,BO,1595705097
481,Port Shepstone,-30.74,30.45,17.23,54,0,2.67,ZA,1595705100
482,Babayurt,43.6,46.78,23.42,81,0,3.44,RU,1595705104
483,Innisfail,-17.53,146.03,17.49,91,0,2.18,AU,1595705107
484,Vinh Yen,21.31,105.6,29.0,79,100,3.6,VN,1595705006
485,Mergen,49.18,125.22,20.66,69,0,3.07,CN,1595705004
486,Port Hardy,50.7,-127.42,15.0,82,20,2.6,CA,1595705116
487,Kayamkulam,9.18,76.5,25.14,88,92,1.14,IN,1595705119
488,Saint Anthony,45.02,-93.22,30.0,66,75,5.1,US,1595705123
489,Rājāpur,25.38,81.15,32.02,56,33,1.05,IN,1595705126
490,Agadez,19.75,10.25,34.21,11,0,3.48,NE,1595704842
491,Kiunga,-6.12,141.29,22.83,99,100,1.27,PG,1595705132
492,Tuxtla Gutiérrez,16.75,-93.12,31.0,52,40,2.1,MX,1595704975
493,Kilinochchi,9.4,80.4,26.96,81,100,5.74,LK,1595705138
494,Haines Junction,60.75,-137.51,15.15,56,67,4.51,CA,1595705142
495,Devonport,-41.17,146.35,4.44,81,0,0.89,AU,1595705145
496,Kota,25.18,75.83,30.75,64,3,3.28,IN,1595705148
497,Pontianak,-0.03,109.33,23.77,95,62,2.3,ID,1595705151
498,Kloulklubed,7.04,134.26,26.0,88,75,2.1,PW,1595705157
499,Berbera,10.44,45.01,33.95,42,35,7.76,SO,1595705160
500,Saquarema,-22.92,-42.51,27.0,54,0,4.1,BR,1595705164
501,Byron Bay,-28.65,153.62,16.0,93,90,2.6,AU,1595705167
502,Bahía Honda,22.9,-83.16,30.38,69,100,4.0,CU,1595705170
503,La Santisima Trinidad,-14.83,-64.9,14.0,76,90,7.7,BO,1595705177
504,Mbigou,-1.9,11.91,20.65,79,23,0.78,GA,1595705180
505,Sirte,31.21,16.59,26.1,74,0,3.63,LY,1595705183
506,Dawei,14.08,98.2,25.26,87,87,1.08,MM,1595705186
507,Tautira,-17.73,-149.15,26.0,69,20,1.5,PF,1595705189
508,Bacalar,18.67,-88.38,32.0,66,40,7.7,MX,1595705192
509,Arrondissement de Rennes,48.17,-1.67,19.0,88,90,4.6,FR,1595705195
510,Leshukonskoye,64.9,45.76,16.97,86,40,1.97,RU,1595705199
511,Pimentel,-6.84,-79.93,20.0,68,40,6.2,PE,1595705202
512,Jardim,-21.48,-56.14,19.3,50,98,3.14,BR,1595705205
513,Lagunillas,10.13,-71.26,30.54,66,99,3.16,VE,1595705208
514,Bijie,27.31,105.29,20.31,93,100,1.58,CN,1595705211
515,Sibolga,1.74,98.78,24.34,84,75,1.66,ID,1595705218
516,Moranbah,-22.0,148.05,15.04,75,18,1.32,AU,1595705221
517,Marawi,8.0,124.29,24.44,91,100,2.68,PH,1595705224
518,Mimongo,-1.62,11.61,21.41,81,26,1.26,GA,1595705227
519,Baykit,61.67,96.37,9.63,85,0,0.37,RU,1595705230
520,Palana,59.12,159.97,9.77,82,0,4.07,RU,1595705233
521,Vila Franca do Campo,37.72,-25.43,23.0,69,20,5.1,PT,1595705237
522,Palāsa,18.77,84.42,26.93,85,1,2.87,IN,1595705240
523,Sayansk,54.11,102.16,14.97,62,100,1.09,RU,1595705243
524,Røros,62.57,11.38,15.0,54,4,1.5,NO,1595705246
525,Meadow Lake,34.8,-106.54,27.78,53,75,2.1,US,1595705249
526,Arrondissement du Havre,49.58,0.33,18.0,93,100,7.2,FR,1595705252
527,Moose Factory,51.26,-80.61,27.0,78,75,3.1,CA,1595705256
528,Lagoa,39.05,-27.98,22.41,88,0,7.13,PT,1595705259
529,Sunrise Manor,36.21,-115.07,37.0,14,1,3.6,US,1595705262
530,Katangli,51.71,143.23,7.41,94,0,2.68,RU,1595705265
531,Jumla,29.27,82.18,17.16,71,61,0.39,NP,1595705268
532,Douentza,15.0,-2.95,34.12,39,39,2.74,ML,1595705272
533,Pirapora,-17.34,-44.94,29.62,28,0,2.0,BR,1595705275
534,Zilupe,56.39,28.12,14.23,94,0,1.73,LV,1595705278
535,Murdochville,48.96,-65.5,22.6,58,96,5.79,CA,1595705281
536,Hay River,60.82,-115.8,21.0,49,20,3.1,CA,1595705284
537,Eureka,40.8,-124.16,20.56,72,20,2.1,US,1595705287
538,Ahmedabad,23.03,72.62,27.0,88,75,1.5,IN,1595705143
539,Mareeba,-17.0,145.43,16.67,97,25,0.75,AU,1595705294
540,Yangi Marg`ilon,40.43,71.72,27.0,47,100,2.1,UZ,1595705297
541,Manicoré,-5.81,-61.3,35.41,33,17,2.2,BR,1595705300
542,Yilan,24.76,121.75,27.0,83,40,2.1,TW,1595705303
543,Valdivia,-39.81,-73.25,12.0,93,90,6.2,CL,1595705114
544,Oskemen,49.96,82.61,19.0,77,90,6.0,KZ,1595705309
545,Nouadhibou,20.93,-17.03,22.0,88,40,9.3,MR,1595705313
546,Doha,25.29,51.53,35.56,67,47,3.1,QA,1595705150
547,Sorong,-0.88,131.25,25.34,91,100,5.36,ID,1595705325
548,Sittwe,20.15,92.9,28.13,82,100,3.59,MM,1595705328
549,Roald,62.58,6.13,15.56,76,20,6.7,NO,1595705331
550,Maridi,4.92,29.47,19.97,90,99,2.04,SS,1595705334
551,Tambacounda,13.75,-13.76,29.0,74,20,2.1,SN,1595705338
552,Catió,11.28,-15.25,25.6,87,100,5.17,GW,1595705341
553,Bairiki Village,1.33,172.98,28.0,78,40,6.7,KI,1595705344
554,Guerrero Negro,27.98,-114.06,24.74,53,3,6.44,MX,1595705347
555,Baghmara,23.8,86.21,28.88,71,69,1.61,IN,1595705354
556,Bolkhov,53.44,36.0,14.29,82,0,2.71,RU,1595705357
557,Sungai Raya,0.7,108.9,25.34,87,91,2.01,ID,1595705360
558,Wajima,37.4,136.9,23.63,85,100,3.03,JP,1595705363
559,Catuday,16.29,119.81,28.17,74,65,0.23,PH,1595705367
560,Akureyri,65.68,-18.09,9.0,81,90,7.2,IS,1595705370
561,Çanakkale Province,40.08,26.83,25.0,57,0,5.1,TR,1595705373
562,Bukama,-9.2,25.85,22.43,31,0,1.69,CD,1595705376
563,Boralday,43.36,76.86,22.0,56,40,1.0,KZ,1595705379
564,Hamada,34.88,132.08,22.78,48,94,1.69,JP,1595705386
565,Bone,51.97,12.14,23.89,60,73,0.43,DE,1595705389
